company_name,domain,segment,priority_tier,naics_code,sam_pattern,target_title,personalization_angle
Federal Retirement Thrift Investment Board,tsp.gov,Segment 1 - Civilian Agency,Hot,541519,brand_monitoring,Chief Information Security Officer,"Direct SAM match: TSP Brand Monitoring and Enforcement opportunity. Flare detects impersonation domains and phishing sites targeting TSP participants before fraud occurs."
Social Security Administration,ssa.gov,Segment 1 - Civilian Agency,Hot,541519,digital_surveillance,CISO / Deputy Commissioner for Systems,"SSA processes 70M+ beneficiary records; credential-leak and doxxing monitoring for staff and citizens directly maps to Flare's stealer-log and dark-web detection."
Department of Veterans Affairs,va.gov,Segment 1 - Civilian Agency,Hot,541519,brand_monitoring,Assistant Secretary for IT & Chief Information Officer,"VA.gov is a high-value phishing target; Flare's brand and impersonation monitoring protects veteran-facing portals and MyHealtheVet from domain abuse."
Internal Revenue Service,irs.gov,Segment 1 - Civilian Agency,Hot,541519,brand_monitoring,Chief Information Officer / CISO,"IRS brand is the most impersonated federal agency in phishing campaigns. Flare provides continuous impersonation-domain and phishing-kit detection across clear and dark web."
Department of the Treasury,treasury.gov,Segment 1 - Civilian Agency,Hot,541512,global_threat_intel,Deputy Assistant Secretary for Cybersecurity,"Treasury's dual role in financial-sector oversight and sanctions enforcement makes global threat-intel feeds and dark-web financial-crime monitoring a strategic fit."
Office of Personnel Management,opm.gov,Segment 1 - Civilian Agency,Warm,541519,digital_surveillance,Chief Information Security Officer,"Post-OPM breach legacy creates mandate for dark-web credential and PII leak monitoring covering federal employee data and clearance-holder identity exposure."
Department of Labor,dol.gov,Segment 1 - Civilian Agency,Warm,541519,brand_monitoring,Chief Information Officer,"DOL's unemployment and benefits portals (UI Online) are frequent phishing targets; brand monitoring and impersonation-domain detection directly address fraud against claimants."
Centers for Medicare & Medicaid Services,cms.hhs.gov,Segment 1 - Civilian Agency,Warm,541519,brand_monitoring,Chief Information Security Officer,"CMS administers Healthcare.gov and Medicare.gov — high-value citizen-facing brands routinely abused in fraud and phishing schemes. Flare's brand monitoring provides proactive detection."
Small Business Administration,sba.gov,Segment 1 - Civilian Agency,Warm,541519,brand_monitoring,Chief Information Officer,"SBA loan and grant programs are routinely impersonated in fraud schemes. Flare monitors for spoofed domains and social-media impersonation targeting small business applicants."
Department of Education,ed.gov,Segment 1 - Civilian Agency,Cool,541519,brand_monitoring,Chief Information Security Officer,"StudentAid.gov brand is exploited in student-loan phishing; Flare's phishing-domain and impersonation monitoring provides early warning before borrowers are defrauded."
Cybersecurity and Infrastructure Security Agency,cisa.dhs.gov,Segment 2 - Sector Risk / Financial Guardians,Hot,541519,global_threat_intel,Section Chief - Threat Hunting / CTI,"CISA's mandate to share threat intel across critical infrastructure sectors aligns directly with Flare's global threat-intel data feeds and dark-web monitoring. Direct SAM match for sector-wide CTI subscriptions."
Financial Crimes Enforcement Network,fincen.gov,Segment 2 - Sector Risk / Financial Guardians,Hot,541519,digital_surveillance,Director / Chief of Staff,"FinCEN's anti-money-laundering mission requires monitoring illicit financial activity in dark-web markets and cybercrime forums — a direct fit for Flare's dark-web intelligence capabilities."
Securities and Exchange Commission,sec.gov,Segment 2 - Sector Risk / Financial Guardians,Hot,541519,global_threat_intel,CISO / Director of Cybersecurity,"SEC's cybersecurity disclosure rules and its own threat posture make external attack-surface monitoring and dark-web credential surveillance an operational necessity."
Office of the Comptroller of the Currency,occ.treas.gov,Segment 2 - Sector Risk / Financial Guardians,Warm,541512,global_threat_intel,Senior Deputy Comptroller for Enterprise Governance,"OCC's bank examination mission requires monitoring for cyber threats targeting regulated financial institutions; Flare's sector-wide threat-intel feeds support cross-institution risk assessment."
Federal Deposit Insurance Corporation,fdic.gov,Segment 2 - Sector Risk / Financial Guardians,Warm,541519,global_threat_intel,Chief Information Security Officer,"FDIC monitors systemic risk to the deposit insurance fund; dark-web chatter about attacks on insured institutions and credential leaks affecting bank staff are directly detectable via Flare."
Federal Reserve System,federalreserve.gov,Segment 2 - Sector Risk / Financial Guardians,Warm,541512,global_threat_intel,Chief Information Security Officer,"The Fed's critical role in financial-system stability and its Fedwire/FedACH infrastructure make it a high-value adversary target; Flare provides continuous external threat exposure monitoring."
Consumer Financial Protection Bureau,cfpb.gov,Segment 2 - Sector Risk / Financial Guardians,Cool,541519,brand_monitoring,Chief Information Officer,"CFPB's consumer-complaint portal is an identity-theft magnet; brand and impersonation monitoring protects citizens submitting sensitive financial complaints from phishing and spoofed sites."
Federal Bureau of Investigation,fbi.gov,Segment 3 - Law Enforcement / Investigative,Hot,541519,digital_surveillance,Section Chief - Cyber Division,"FBI Cyber Division's mandate to investigate dark-web criminal activity maps precisely to Flare's darknet forum monitoring, stealer-log access, and criminal-community intelligence capabilities."
Drug Enforcement Administration,dea.gov,Segment 3 - Law Enforcement / Investigative,Hot,541519,digital_surveillance,Chief of Intelligence / CISO,"DEA investigates dark-web drug markets and illicit financial flows; Flare's dark-web marketplace and Telegram cybercrime-channel monitoring directly supports ongoing investigations and threat awareness."
Bureau of Alcohol Tobacco Firearms and Explosives,atf.gov,Segment 3 - Law Enforcement / Investigative,Hot,541519,digital_surveillance,Chief of Intelligence,"ATF tracks illicit firearms trafficking through dark-web channels; Flare's monitoring of Tor markets and cybercrime forums surfaces relevant criminal discussions and supply-chain intelligence."
United States Secret Service,secretservice.gov,Segment 3 - Law Enforcement / Investigative,Hot,541519,digital_surveillance,Special Agent in Charge - Cyber Operations,"USSS investigates financial cybercrimes and protects protectee PII from doxxing; Flare's stealer-log monitoring and doxxing-detection capabilities are a direct operational fit."
Homeland Security Investigations,ice.gov,Segment 3 - Law Enforcement / Investigative,Hot,541519,digital_surveillance,Section Chief - Cyber Crimes Center (C3),"HSI's Cyber Crimes Center (C3) investigates dark-web trafficking, CSAM, and financial crime; Flare's dark-web and Telegram channel monitoring provides continuous intelligence on criminal forums."
Department of Justice,justice.gov,Segment 3 - Law Enforcement / Investigative,Warm,541519,digital_surveillance,Deputy Assistant Attorney General - Cybercrime,"DOJ's Computer Crime and Intellectual Property Section (CCIPS) prosecutes cybercriminals; Flare's evidence-quality dark-web monitoring and threat actor attribution supports investigative and prosecution workflows."
United States Marshals Service,usmarshals.gov,Segment 3 - Law Enforcement / Investigative,Warm,541519,digital_surveillance,Chief Inspector - Cyber Investigations,"USMS protects federal witnesses and fugitive-apprehension operations; dark-web doxxing detection and social-media criminal-community monitoring are high-value capabilities for witness protection."
United States Postal Inspection Service,postalinspectors.uspis.gov,Segment 3 - Law Enforcement / Investigative,Cool,541519,digital_surveillance,Chief Postal Inspector - Cyber,"USPIS investigates mail fraud, identity theft, and dark-web contraband shipments; Flare's dark-web marketplace monitoring and brand-protection detection supports USPS brand fraud investigations."
National Security Agency,nsa.gov,Segment 4 - Cyber / CTI Programs,Hot,541519,cti_platform,Chief of Cybersecurity Directorate,"NSA's Cybersecurity Directorate issues advisories and shares threat intel; Flare's commercial dark-web telemetry and stealer-log feeds complement classified sources for external threat context."
Defense Information Systems Agency,disa.mil,Segment 4 - Cyber / CTI Programs,Hot,541512,cti_platform,Program Manager - Cyber Defense,"DISA operates DoD's enterprise cybersecurity infrastructure; Flare's external attack-surface and credential-leak monitoring integrates with DISA's ACAS and Comply-to-Connect programs."
United States Cyber Command,cybercom.mil,Segment 4 - Cyber / CTI Programs,Hot,541519,cti_platform,Deputy Commander for Intelligence / J2,"USCYBERCOM's cyber mission forces require commercial threat-intel feeds to augment classified sources; Flare's dark-web actor tracking and TTPs support hunt and defend operations."
Department of Defense CIO,dodcio.defense.gov,Segment 4 - Cyber / CTI Programs,Warm,541512,cti_platform,Deputy CIO for Cybersecurity,"DoD CIO oversees enterprise zero-trust and CTEM policy; Flare's continuous external threat exposure management aligns directly with DoD's CTEM implementation roadmap."
Air Force Cyber Command,16af.af.mil,Segment 4 - Cyber / CTI Programs,Warm,541519,cti_platform,Director of Intelligence / A2,"16th Air Force (Air Forces Cyber) conducts defensive and offensive cyber operations; commercial dark-web and adversary-community intelligence augments organic CTI capabilities."
Army Cyber Command,arcyber.army.mil,Segment 4 - Cyber / CTI Programs,Warm,541519,cti_platform,Deputy Commanding General for Intelligence,"ARCYBER's threat intelligence teams require commercial external-threat feeds; Flare's dark-web monitoring and stealer-log analysis provide non-classified adversary activity context."
Defense Intelligence Agency,dia.mil,Segment 4 - Cyber / CTI Programs,Warm,541519,cti_platform,Chief Information Officer,"DIA produces all-source intelligence; commercial dark-web and cybercrime-community data from Flare supplements classified collection against cyber threat actors."
Cybersecurity Directorate - CISA,cisa.dhs.gov,Segment 4 - Cyber / CTI Programs,Hot,541519,cti_platform,Deputy Executive Assistant Director for Cybersecurity,"CISA's cybersecurity programs directly purchase CTI platform and digital-risk-protection subscriptions via SAM.gov; Flare aligns with TIES-type enterprise CTI solicitations."
Booz Allen Hamilton,boozallen.com,Segment 5 - Systems Integrators / Primes,Hot,541512,cti_platform,VP - Cyber / Senior Principal for Threat Intelligence,"Booz Allen is the largest federal cyber prime; embedding Flare as the dark-web intelligence engine inside their managed detection and threat-hunt offerings adds differentiated capability to bid proposals."
SAIC,saic.com,Segment 5 - Systems Integrators / Primes,Hot,541512,cti_platform,VP - Cyber Solutions / Director of Threat Intelligence,"SAIC holds major cyber-operations and IT managed-services contracts across DoD and civilian agencies; Flare can ride as the external-threat-intel layer inside their SOC-as-a-service offerings."
Leidos,leidos.com,Segment 5 - Systems Integrators / Primes,Hot,541512,cti_platform,VP - Cyber / Director of Intelligence Solutions,"Leidos supports FBI, DHS, and DoD cyber programs; Flare's dark-web monitoring and brand-protection capabilities fill capability gaps in their existing CTI and digital-risk-protection portfolio."
MITRE Corporation,mitre.org,Segment 5 - Systems Integrators / Primes,Warm,541512,cti_platform,Principal Cyber Threat Intelligence Analyst,"MITRE operates FFRDCs and maintains ATT&CK; Flare's commercial dark-web telemetry and stealer-log feeds can enrich MITRE-led threat modeling and government R&D programs."
ManTech International,mantech.com,Segment 5 - Systems Integrators / Primes,Warm,541512,digital_surveillance,VP - Cyber Solutions / Program Director,"ManTech holds law-enforcement and intelligence-community IT contracts; Flare's digital surveillance and dark-web monitoring capabilities map to their investigative-technology service lines."
CACI International,caci.com,Segment 5 - Systems Integrators / Primes,Warm,541512,digital_surveillance,VP - Enterprise IT and Intelligence / Cyber Director,"CACI supports intelligence community and DoD with ISR and cyber programs; Flare's dark-web and criminal-community monitoring adds commercial OSINT depth to CACI's intelligence offerings."
General Dynamics Information Technology,gdit.com,Segment 5 - Systems Integrators / Primes,Warm,541512,cti_platform,VP - Cyber / Director of Threat Intelligence Services,"GDIT manages enterprise IT and cybersecurity programs for DHS, DoD, and civilian agencies; Flare can be embedded as the external-threat-intel subscription within GDIT-managed SOC contracts."
Accenture Federal Services,accenture.com,Segment 5 - Systems Integrators / Primes,Warm,541512,cti_platform,Managing Director - Cyber / Lead for Federal Cyber Resilience,"Accenture Federal's cyber practice serves civilian agencies and DoD; Flare's CTEM and dark-web capabilities align with their Zero Trust and cyber-resilience service offerings."
Deloitte Government Services,deloitte.com,Segment 5 - Systems Integrators / Primes,Warm,541512,cti_platform,Managing Director - Cyber Risk / Federal Security,"Deloitte GovCon's cyber practice supports Treasury, DHS, and DoD; Flare's external-threat and brand-monitoring capabilities complement their cyber-risk and digital-identity service lines."
IBM Federal,ibm.com,Segment 5 - Systems Integrators / Primes,Cool,541512,cti_platform,VP - Federal Security Solutions / IBM X-Force Government,"IBM X-Force and IBM Federal Security serve major civilian and DoD programs; Flare's dark-web intelligence integrates with IBM QRadar and X-Force Exchange as a commercial dark-web data enrichment source."
Northrop Grumman IT,northropgrumman.com,Segment 5 - Systems Integrators / Primes,Cool,541512,cti_platform,VP - Cyber / Director of Mission Solutions,"Northrop Grumman's mission IT and cyber programs span intelligence community and DoD; Flare's external threat-intel feeds supplement classified cyber intelligence within their program portfolios."
L3Harris Technologies,l3harris.com,Segment 5 - Systems Integrators / Primes,Cool,541519,digital_surveillance,VP - Intelligence Solutions / Cyber Director,"L3Harris's intelligence and surveillance portfolio supports law-enforcement and IC programs; Flare's dark-web and digital-surveillance capabilities complement their existing ISR technology stack."
Mandiant (Google Cloud Federal),mandiant.com,Segment 6 - Federal MSSPs,Hot,541519,cti_platform,VP - Federal / Director of Threat Intelligence - Government,"Mandiant Federal delivers managed detection and threat-intel services to civilian and IC agencies; Flare's dark-web and credential-leak monitoring fills a commercial OSINT gap alongside Mandiant's classified and premium intel feeds."
CrowdStrike Federal,crowdstrike.com,Segment 6 - Federal MSSPs,Hot,541519,cti_platform,VP - Federal Sales / Director of Intelligence - Government,"CrowdStrike Federal provides endpoint and threat-intel to DoD and civilian agencies; Flare's external dark-web and brand-monitoring capabilities complement CrowdStrike's Falcon Intelligence as a partner data source."
Palo Alto Networks Federal,paloaltonetworks.com,Segment 6 - Federal MSSPs,Hot,541519,cti_platform,VP - Federal / Director of Cortex XSOAR Government,"Palo Alto Federal's XSOAR and Unit 42 services serve major agency programs; Flare's dark-web feeds integrate natively with XSOAR playbooks and enrich Unit 42 investigations with commercial OSINT."
Secureworks,secureworks.com,Segment 6 - Federal MSSPs,Warm,541519,cti_platform,VP - Federal / Director of CTU Threat Intelligence Government,"Secureworks CTU and Taegis serve federal MDR programs; Flare's dark-web stealer-log and Telegram monitoring complements CTU intelligence and strengthens Taegis detections with external credential exposure signals."
Telos Corporation,telos.com,Segment 6 - Federal MSSPs,Warm,541519,cti_platform,VP - Cyber / Director of Xacta and Security Solutions,"Telos holds major FedRAMP and cybersecurity programs across DoD and civilian agencies; Flare's continuous external threat exposure management aligns with Telos's GRC and cyber-risk posture offerings."
Arctic Wolf Federal,arcticwolf.com,Segment 6 - Federal MSSPs,Warm,541519,cti_platform,Director of Federal Sales / Federal Security Operations,"Arctic Wolf's managed detection and response platform is expanding into federal; Flare's external-threat and dark-web monitoring enriches their Concierge Security Team with credential and brand-abuse intelligence."
Peraton,peraton.com,Segment 5 - Systems Integrators / Primes,Hot,541512,cti_platform,VP - Cyber Mission Solutions / Director of Threat Intelligence,"Peraton supports intelligence community and DHS cyber programs; Flare's dark-web monitoring and external attack-surface intelligence fills commercial OSINT gaps in Peraton's managed cyber operations."
Parsons Corporation,parsons.com,Segment 5 - Systems Integrators / Primes,Cool,541512,digital_surveillance,VP - Cyber / Director of Intelligence Solutions,"Parsons supports DHS, DoD, and IC cyber programs; Flare's dark-web and digital-surveillance capabilities complement their open-source intelligence and cyber mission support offerings."
Unison,unisongt.com,Segment 5 - Systems Integrators / Primes,Cool,541512,cti_platform,Director of Cyber Solutions,"Mid-tier integrator with federal cyber programs; Flare's subscription model is suitable for inclusion in a prime-led CTI or digital-risk-protection task order."
SilverSky,silversky.com,Segment 6 - Federal MSSPs,Cool,541519,cti_platform,VP of Federal / Director of Managed Security,"SilverSky provides managed security services to mid-size federal contractors; Flare's dark-web monitoring adds external threat context to their SOC offering for the federal supply chain."
Coalfire Federal,coalfire.com,Segment 6 - Federal MSSPs,Cool,541519,cti_platform,Director of Federal Cyber Advisory,"Coalfire supports FedRAMP assessments and cyber advisory for civilian agencies; Flare's external attack-surface and credential-leak monitoring strengthens their continuous monitoring advisory practice."
Optiv Federal,optiv.com,Segment 6 - Federal MSSPs,Cool,541519,cti_platform,VP - Federal / Director of Threat and Response,"Optiv's federal cyber practice delivers threat intelligence and security operations services; Flare's dark-web telemetry enriches Optiv's threat-intel advisory and MDR offerings for agency clients."
